PVS,dataset,Resolution,Framerate,bitrate,video_codec,quant,mean_qp,p1204_3_score
platformer_01_1280x720_120_yuv420p.yuv_AV1_0.4M,hifps_120_testnum_003,921600,120,0.4,AV1,0.9596699346405227,244.7158333333333,2.081348087653123
platformer_01_1280x720_120_yuv420p.yuv_AV1_0.75M,hifps_120_testnum_003,921600,120,0.75,AV1,0.8785032679738562,224.0183333333333,2.425879610402773
platformer_01_1280x720_30_yuv420p.yuv_AV1_0.3M,lofps_4k_testnum_009,921600,30,0.3,AV1,0.9040261437908496,230.52666666666667,2.3243164244902204
platformer_01_1280x720_30_yuv420p.yuv_AV1_0.5M,lofps_4k_testnum_007,921600,30,0.5,AV1,0.8204313725490197,209.21,2.634815721799153
platformer_01_1280x720_30_yuv420p.yuv_AV1_1M,hifps_120_testnum_000,921600,30,1.0,AV1,0.6928758169934641,176.68333333333334,2.997657853117879
platformer_01_1280x720_60_yuv420p.yuv_AV1_0.2M,lofps_4K_testnum_013,921600,60,0.2,AV1,0.98740522875817,251.78833333333333,1.9492047543928157
platformer_01_1280x720_60_yuv420p.yuv_AV1_0.4M,hifps_120_testnum_004,921600,60,0.4,AV1,0.9150588235294118,233.34,2.278505663356708
platformer_01_1280x720_60_yuv420p.yuv_AV1_0.75M,lofps_4K_testnum_014,921600,60,0.75,AV1,0.8171307189542484,208.3683333333333,2.6458051818468302
platformer_01_1280x720_60_yuv420p.yuv_AV1_2M,lofps_4k_testnum_007,921600,60,2.0,AV1,0.6391372549019607,162.98,3.1169949106467008
platformer_01_1920x1080_60_yuv420p.yuv_AV1_0.3M,hifps_120_testnum_000,2073600,60,0.3,AV1,0.9896601307189544,252.3633333333333,2.51896435966989
platformer_01_1920x1080_60_yuv420p.yuv_AV1_0.5M,lofps_4K_testnum_013,2073600,60,0.5,AV1,0.948372549019608,241.835,2.734691047505821
platformer_01_1920x1080_60_yuv420p.yuv_AV1_1M,lofps_4k_testnum_009,2073600,60,1.0,AV1,0.8450522875816994,215.4883333333333,3.1732663003430504
platformer_01_1920x1080_60_yuv420p.yuv_AV1_2M,lofps_4K_testnum_013,2073600,60,2.0,AV1,0.7133986928104574,181.91666666666663,3.5673396405379947
platformer_01_3840x2160_30_yuv420p.yuv_AV1_0.3M,lofps_4k_testnum_009,8294400,30,0.3,AV1,0.9979738562091502,254.4833333333333,2.8504511245950037
platformer_01_3840x2160_30_yuv420p.yuv_AV1_1M,lofps_4k_testnum_005,8294400,30,1.0,AV1,0.9400130718954248,239.7033333333333,3.1582787162021604
platformer_01_3840x2160_30_yuv420p.yuv_AV1_3M,lofps_4k_testnum_007,8294400,30,3.0,AV1,0.734562091503268,187.31333333333333,3.875891424558509
platformer_01_3840x2160_60_yuv420p.yuv_AV1_0.3M,lofps_4K_testnum_014,8294400,60,0.3,AV1,0.997751633986928,254.42666666666668,2.8517479209892
platformer_01_3840x2160_60_yuv420p.yuv_AV1_1M,lofps_4k_testnum_007,8294400,60,1.0,AV1,0.974483660130719,248.4933333333333,2.982375405813088
platformer_01_3840x2160_60_yuv420p.yuv_AV1_2M,lofps_4k_testnum_005,8294400,60,2.0,AV1,0.8808823529411764,224.625,3.416916729334685
fps_01_1280x720_120_yuv420p.yuv_AV1_5M,hifps_120_testnum_004,921600,120,5.0,AV1,0.5439284485724114,138.7017543859649,3.28912829042469
fps_01_1280x720_30_yuv420p.yuv_AV1_0.2M,lofps_4k_testnum_011,921600,30,0.2,AV1,0.9232060543515652,235.4175438596492,2.2439283098093865
fps_01_1280x720_30_yuv420p.yuv_AV1_0.3M,lofps_4k_testnum_010,921600,30,0.3,AV1,0.8685242518059856,221.4736842105264,2.4639384562904154
fps_01_1280x720_30_yuv420p.yuv_AV1_0.75M,lofps_4k_testnum_011,921600,30,0.75,AV1,0.7274303405572755,185.49473684210523,2.9111507650678887
fps_01_1920x1080_60_yuv420p.yuv_AV1_0.5M,lofps_4k_testnum_010,2073600,60,0.5,AV1,0.9349088407292742,238.4017543859649,2.799668740946239
fps_01_1920x1080_60_yuv420p.yuv_AV1_1M,hifps_120_testnum_004,2073600,60,1.0,AV1,0.8468730650154799,215.95263157894732,3.166643998993103
fps_01_1920x1080_60_yuv420p.yuv_AV1_5M,lofps_4k_testnum_007,2073600,60,5.0,AV1,0.6073409012727897,154.8719298245614,3.787725123133741
fps_01_3840x2160_30_yuv420p.yuv_AV1_10M,lofps_4k_testnum_005,8294400,30,10.0,AV1,0.5931111111111111,151.24333333333334,4.151047516611702
fps_01_3840x2160_60_yuv420p.yuv_AV1_0.3M,lofps_4K_testnum_014,8294400,60,0.3,AV1,0.998954248366013,254.7333333333333,2.844718541497006
fps_01_3840x2160_60_yuv420p.yuv_AV1_2M,lofps_4K_testnum_013,8294400,60,2.0,AV1,0.8869869281045751,226.18166666666667,3.392501511275471
sports_01_1280x720_120_yuv420p.yuv_AV1_0.05M,hifps_120_testnum_003,921600,120,0.05,AV1,0.9981111111111112,254.5183333333333,1.8963040397578428
sports_01_1280x720_120_yuv420p.yuv_AV1_0.2M,hifps_120_testnum_004,921600,120,0.2,AV1,0.8932516339869281,227.77916666666667,2.3679384720506533
sports_01_1280x720_120_yuv420p.yuv_AV1_2M,hifps_120_testnum_004,921600,120,2.0,AV1,0.4878986928104575,124.41416666666667,3.3706294920463145
sports_01_1280x720_30_yuv420p.yuv_AV1_0.02M,lofps_4k_testnum_007,921600,30,0.02,AV1,0.9985490196078431,254.63,1.8941185240756897
sports_01_1280x720_30_yuv420p.yuv_AV1_0.1M,lofps_4k_testnum_009,921600,30,0.1,AV1,0.8913986928104576,227.30666666666667,2.375329883743432
sports_01_1280x720_30_yuv420p.yuv_AV1_0.2M,lofps_4k_testnum_007,921600,30,0.2,AV1,0.7835816993464052,199.81333333333333,2.752388344615772
sports_01_1280x720_60_yuv420p.yuv_AV1_0.05M,lofps_4k_testnum_010,921600,60,0.05,AV1,0.9924117647058824,253.065,1.9245937749382105
sports_01_1280x720_60_yuv420p.yuv_AV1_0.1M,hifps_120_testnum_000,921600,60,0.1,AV1,0.9418562091503268,240.1733333333333,2.162371943734417
sports_01_1280x720_60_yuv420p.yuv_AV1_0.3M,hifps_120_testnum_000,921600,60,0.3,AV1,0.7692614379084967,196.16166666666663,2.795136320102716
sports_01_1920x1080_60_yuv420p.yuv_AV1_0.2M,lofps_4K_testnum_014,2073600,60,0.2,AV1,0.940078431372549,239.72,2.7750198793418552
sports_01_1920x1080_60_yuv420p.yuv_AV1_2M,lofps_4k_testnum_011,2073600,60,2.0,AV1,0.524843137254902,133.835,3.915618323792292
sports_01_3840x2160_30_yuv420p.yuv_AV1_0.1M,lofps_4k_testnum_011,8294400,30,0.1,AV1,0.997751633986928,254.42666666666668,2.8517479209892
sports_01_3840x2160_30_yuv420p.yuv_AV1_0.4M,lofps_4K_testnum_013,8294400,30,0.4,AV1,0.9286797385620916,236.81333333333333,3.2118568055609567
sports_01_3840x2160_30_yuv420p.yuv_AV1_2M,lofps_4k_testnum_007,8294400,30,2.0,AV1,0.6329411764705882,161.4,4.086132573949344
sports_01_3840x2160_60_yuv420p.yuv_AV1_0.1M,lofps_4k_testnum_009,8294400,60,0.1,AV1,0.9985882352941176,254.64,2.846860886427878
sports_01_3840x2160_60_yuv420p.yuv_AV1_0.5M,lofps_4K_testnum_014,8294400,60,0.5,AV1,0.948967320261438,241.98666666666668,3.1145004227603086
sports_01_3840x2160_60_yuv420p.yuv_AV1_3M,lofps_4k_testnum_009,8294400,60,3.0,AV1,0.6180522875816993,157.60333333333332,4.111407234060889
3rd_01_1280x720_120_yuv420p.yuv_AV1_0.5M,hifps_120_testnum_003,921600,120,0.5,AV1,0.933251633986928,237.97916666666663,2.200415726145641
3rd_01_1280x720_120_yuv420p.yuv_AV1_2M,hifps_120_testnum_000,921600,120,2.0,AV1,0.7397091503267974,188.62583333333333,2.8784230919694336
3rd_01_1280x720_30_yuv420p.yuv_AV1_0.2M,lofps_4K_testnum_013,921600,30,0.2,AV1,0.9552941176470588,243.6,2.1015329759341963
3rd_01_1280x720_30_yuv420p.yuv_AV1_0.5M,hifps_120_testnum_003,921600,30,0.5,AV1,0.8452941176470589,215.55,2.5490281058846582
3rd_01_1280x720_30_yuv420p.yuv_AV1_1M,lofps_4K_testnum_013,921600,30,1.0,AV1,0.7376209150326798,188.09333333333333,2.884065050237251
3rd_01_1280x720_60_yuv420p.yuv_AV1_0.3M,lofps_4k_testnum_010,921600,60,0.3,AV1,0.950281045751634,242.32166666666663,2.12443209456745
3rd_01_1280x720_60_yuv420p.yuv_AV1_0.75M,hifps_120_testnum_003,921600,60,0.75,AV1,0.8393333333333334,214.03,2.570085539213653
3rd_01_1280x720_60_yuv420p.yuv_AV1_5M,hifps_120_testnum_004,921600,60,5.0,AV1,0.5521895424836601,140.80833333333334,3.275962177019601
3rd_01_1920x1080_60_yuv420p.yuv_AV1_1M,hifps_120_testnum_004,2073600,60,1.0,AV1,0.8886928104575164,226.61666666666667,3.0042016192809164
3rd_01_3840x2160_30_yuv420p.yuv_AV1_0.3M,lofps_4k_testnum_011,8294400,30,0.3,AV1,0.996718954248366,254.16333333333333,2.8577616862431183
3rd_01_3840x2160_30_yuv420p.yuv_AV1_10M,lofps_4k_testnum_011,8294400,30,10.0,AV1,0.6571895424836601,167.58333333333334,4.042202452947081
3rd_01_3840x2160_30_yuv420p.yuv_AV1_5M,lofps_4K_testnum_013,8294400,30,5.0,AV1,0.7758954248366012,197.85333333333327,3.767930231197682
3rd_01_3840x2160_60_yuv420p.yuv_AV1_20M,lofps_4k_testnum_007,8294400,60,20.0,AV1,0.5963529411764705,152.07,4.146078597171085
racing_01_1280x720_120_yuv420p.yuv_AV1_10M,hifps_120_testnum_003,921600,120,10.0,AV1,0.6470555664126115,164.99916943521595,3.1005014095932077
racing_01_1280x720_120_yuv420p.yuv_AV1_3M,hifps_120_testnum_003,921600,120,3.0,AV1,0.7877239267800143,200.86960132890368,2.739722686275392
racing_01_1280x720_30_yuv420p.yuv_AV1_0.5M,lofps_4K_testnum_014,921600,30,0.5,AV1,0.9086053025861508,231.69435215946845,2.3054434805602453
racing_01_1280x720_30_yuv420p.yuv_AV1_5M,lofps_4k_testnum_005,921600,30,5.0,AV1,0.6204546935053091,158.21594684385383,3.1545006560887616
racing_01_1280x720_60_yuv420p.yuv_AV1_1M,lofps_4k_testnum_005,921600,60,1.0,AV1,0.875343625822422,223.2126245847176,2.438029418643608
racing_01_1920x1080_60_yuv420p.yuv_AV1_10M,lofps_4k_testnum_011,2073600,60,10.0,AV1,0.727249039150544,185.44850498338872,3.5328985533685446
racing_01_1920x1080_60_yuv420p.yuv_AV1_2M,lofps_4K_testnum_014,2073600,60,2.0,AV1,0.890704188652205,227.1295681063123,2.995868000341196
racing_01_1920x1080_60_yuv420p.yuv_AV1_30M,lofps_4k_testnum_011,2073600,60,30.0,AV1,0.5846264087030161,149.0797342192691,3.8262637426982415
racing_01_1920x1080_60_yuv420p.yuv_AV1_5M,lofps_4k_testnum_010,2073600,60,5.0,AV1,0.8008142792000521,204.2076411960133,3.323520795741932
racing_01_3840x2160_30_yuv420p.yuv_AV1_50M,lofps_4K_testnum_014,8294400,30,50.0,AV1,0.6117908496732026,156.00666666666666,4.121669181157559
racing_01_3840x2160_30_yuv420p.yuv_AV1_5M,lofps_4k_testnum_011,8294400,30,5.0,AV1,0.9086013071895424,231.69333333333333,3.301971038380501
racing_01_3840x2160_60_yuv420p.yuv_AV1_10M,lofps_4k_testnum_010,8294400,60,10.0,AV1,0.8806955727382466,224.5773710482529,3.4176559906640818
racing_01_3840x2160_60_yuv420p.yuv_AV1_20M,lofps_4k_testnum_011,8294400,60,20.0,AV1,0.8004698052265832,204.1198003327787,3.6963666110460736
isometric_01_1280x720_120_yuv420p.yuv_AV1_20M,hifps_120_testnum_003,921600,120,20.0,AV1,0.3915490196078431,99.845,3.483102625627323
isometric_01_1280x720_120_yuv420p.yuv_AV1_5M,hifps_120_testnum_000,921600,120,5.0,AV1,0.6267941176470588,159.8325,3.14199234142856
isometric_01_1280x720_30_yuv420p.yuv_AV1_0.4M,lofps_4k_testnum_005,921600,30,0.4,AV1,0.8856209150326798,225.8333333333333,2.398170611759719
isometric_01_1280x720_30_yuv420p.yuv_AV1_1M,lofps_4k_testnum_009,921600,30,1.0,AV1,0.7581045751633987,193.31666666666663,2.8273462902045106
isometric_01_1280x720_30_yuv420p.yuv_AV1_5M,lofps_4k_testnum_009,921600,30,5.0,AV1,0.4826928104575164,123.08666666666667,3.3775524601958336
isometric_01_1280x720_60_yuv420p.yuv_AV1_1M,lofps_4K_testnum_013,921600,60,1.0,AV1,0.8113398692810458,206.89166666666668,2.6648640144525544
isometric_01_1920x1080_60_yuv420p.yuv_AV1_1M,lofps_4K_testnum_014,2073600,60,1.0,AV1,0.9049019607843136,230.75,2.935611799000108
isometric_01_1920x1080_60_yuv420p.yuv_AV1_2M,hifps_120_testnum_000,2073600,60,2.0,AV1,0.8220588235294117,209.625,3.2538560921543738
isometric_01_1920x1080_60_yuv420p.yuv_AV1_2M,hifps_120_testnum_003,2073600,60,2.0,AV1,0.8220588235294117,209.625,3.2538560921543738
isometric_01_1920x1080_60_yuv420p.yuv_AV1_2M,hifps_120_testnum_004,2073600,60,2.0,AV1,0.8220588235294117,209.625,3.2538560921543738
isometric_01_1920x1080_60_yuv420p.yuv_AV1_2M,lofps_4k_testnum_005,2073600,60,2.0,AV1,0.8220588235294117,209.625,3.2538560921543738
isometric_01_1920x1080_60_yuv420p.yuv_AV1_2M,lofps_4k_testnum_007,2073600,60,2.0,AV1,0.8220588235294117,209.625,3.2538560921543738
isometric_01_1920x1080_60_yuv420p.yuv_AV1_2M,lofps_4k_testnum_009,2073600,60,2.0,AV1,0.8220588235294117,209.625,3.2538560921543738
isometric_01_1920x1080_60_yuv420p.yuv_AV1_2M,lofps_4k_testnum_010,2073600,60,2.0,AV1,0.8220588235294117,209.625,3.2538560921543738
isometric_01_1920x1080_60_yuv420p.yuv_AV1_2M,lofps_4k_testnum_011,2073600,60,2.0,AV1,0.8220588235294117,209.625,3.2538560921543738
isometric_01_1920x1080_60_yuv420p.yuv_AV1_2M,lofps_4K_testnum_013,2073600,60,2.0,AV1,0.8220588235294117,209.625,3.2538560921543738
isometric_01_1920x1080_60_yuv420p.yuv_AV1_2M,lofps_4K_testnum_014,2073600,60,2.0,AV1,0.8220588235294117,209.625,3.2538560921543738
isometric_01_1920x1080_60_yuv420p.yuv_AV1_5M,lofps_4k_testnum_010,2073600,60,5.0,AV1,0.7033790849673203,179.36166666666668,3.5913617193160565
isometric_01_3840x2160_30_yuv420p.yuv_AV1_1.3M,lofps_4K_testnum_014,8294400,30,1.3,AV1,0.9393785421145202,239.54152823920265,3.161331954061234
isometric_01_3840x2160_30_yuv420p.yuv_AV1_20M,lofps_4k_testnum_011,8294400,30,20.0,AV1,0.4965148850237769,126.61129568106313,4.277052754526828
isometric_01_3840x2160_30_yuv420p.yuv_AV1_3M,lofps_4K_testnum_014,8294400,30,3.0,AV1,0.8188652205068073,208.81063122923587,3.638847732259704
isometric_01_3840x2160_30_yuv420p.yuv_AV1_5M,lofps_4K_testnum_013,8294400,30,5.0,AV1,0.737046446485571,187.9468438538206,3.869811953757947
isometric_01_3840x2160_60_yuv420p.yuv_AV1_10M,lofps_4K_testnum_013,8294400,60,10.0,AV1,0.6926038302176112,176.61397670549084,3.9713498222728334
isometric_01_3840x2160_60_yuv420p.yuv_AV1_30M,lofps_4k_testnum_009,8294400,60,30.0,AV1,0.5116439920394115,130.46921797004993,4.259882971669073
isometric_01_3840x2160_60_yuv420p.yuv_AV1_5M,lofps_4k_testnum_005,8294400,60,5.0,AV1,0.7963133339858406,203.05990016638933,3.708884219256325
rts_01_1280x720_120_yuv420p.yuv_AV1_0.1M,hifps_120_testnum_000,921600,120,0.1,AV1,0.9209090463829162,234.8318068276436,2.253741455094446
rts_01_1280x720_120_yuv420p.yuv_AV1_0.4M,hifps_120_testnum_004,921600,120,0.4,AV1,0.649883267211964,165.7202331390508,3.09452319759552
rts_01_1280x720_30_yuv420p.yuv_AV1_0.05M,hifps_120_testnum_003,921600,30,0.05,AV1,0.8974771241830065,228.85666666666663,2.3509619047408448
rts_01_1280x720_30_yuv420p.yuv_AV1_0.1M,lofps_4k_testnum_005,921600,30,0.1,AV1,0.7870196078431373,200.69,2.741885905704628
rts_01_1280x720_30_yuv420p.yuv_AV1_1M,lofps_4k_testnum_005,921600,30,1.0,AV1,0.3762483660130719,95.94333333333331,3.4981945663084058
rts_01_1280x720_60_yuv420p.yuv_AV1_0.08M,hifps_120_testnum_000,921600,60,0.08,AV1,0.8843691886072232,225.514143094842,2.403077772647149
